timestep,person_id,intervention_type,effect,person_age,person_sex,person_infectious,person_symptomatic,location_id,location_type,location_occupancy,location_capacity
240,62,capacity_limit,redirected_home,20,1,False,False,14,facility,20,40
300,58,capacity_limit,redirected_home,27,0,False,False,2,facility,15,30
360,52,capacity_limit,redirected_home,21,0,False,False,2,facility,15,30
360,121,capacity_limit,redirected_home,38,1,False,False,2,facility,15,30
360,40,capacity_limit,redirected_home,6,0,False,False,2,facility,15,30
360,2,capacity_limit,redirected_home,25,0,True,False,2,facility,15,30
360,149,capacity_limit,redirected_home,29,1,True,False,2,facility,15,30
360,58,capacity_limit,redirected_home,27,0,False,False,2,facility,15,30
360,118,capacity_limit,redirected_home,38,0,False,False,2,facility,15,30
360,70,capacity_limit,redirected_home,18,0,False,False,14,facility,20,40
360,101,capacity_limit,redirected_home,72,1,True,False,14,facility,20,40
360,62,capacity_limit,redirected_home,20,1,True,False,14,facility,20,40
420,68,capacity_limit,redirected_home,63,1,False,False,2,facility,15,30
420,92,capacity_limit,redirected_home,64,1,True,False,2,facility,15,30
420,58,capacity_limit,redirected_home,27,0,False,False,2,facility,15,30
420,78,capacity_limit,redirected_home,39,1,True,False,2,facility,15,30
420,118,capacity_limit,redirected_home,38,0,False,False,2,facility,15,30
420,151,capacity_limit,redirected_home,19,1,True,False,2,facility,15,30
420,75,capacity_limit,redirected_home,22,0,False,False,2,facility,15,30
420,96,capacity_limit,redirected_home,74,0,True,False,14,facility,20,40
420,135,capacity_limit,redirected_home,9,1,True,False,14,facility,20,40
420,173,capacity_limit,redirected_home,65,0,False,False,14,facility,20,40
420,93,capacity_limit,redirected_home,53,0,True,False,14,facility,20,40
420,62,capacity_limit,redirected_home,20,1,True,False,14,facility,20,40
420,83,capacity_limit,redirected_home,17,0,False,False,14,facility,20,40
420,165,capacity_limit,redirected_home,63,1,True,False,14,facility,20,40
480,78,capacity_limit,redirected_home,39,1,True,False,2,facility,15,30
480,118,capacity_limit,redirected_home,38,0,False,False,2,facility,15,30
480,151,capacity_limit,redirected_home,19,1,True,False,2,facility,15,30
480,75,capacity_limit,redirected_home,22,0,False,False,2,facility,15,30
480,45,capacity_limit,redirected_home,3,0,True,False,2,facility,15,30
480,165,capacity_limit,redirected_home,63,1,True,False,14,facility,20,40
540,66,capacity_limit,redirected_home,60,1,True,False,2,facility,15,30
540,78,capacity_limit,redirected_home,39,1,True,False,2,facility,15,30
540,118,capacity_limit,redirected_home,38,0,True,False,2,facility,15,30
540,151,capacity_limit,redirected_home,19,1,True,False,2,facility,15,30
540,75,capacity_limit,redirected_home,22,0,False,False,2,facility,15,30
540,45,capacity_limit,redirected_home,3,0,True,False,2,facility,15,30
600,75,capacity_limit,redirected_home,22,0,False,False,2,facility,15,30
600,13,capacity_limit,redirected_home,28,1,True,False,2,facility,15,30
660,66,capacity_limit,redirected_home,60,1,True,False,2,facility,15,30
660,80,capacity_limit,redirected_home,38,1,True,False,2,facility,15,30
660,13,capacity_limit,redirected_home,28,1,True,False,2,facility,15,30
660,45,capacity_limit,redirected_home,3,0,True,False,2,facility,15,30
720,52,capacity_limit,redirected_home,21,0,True,False,2,facility,15,30
720,45,capacity_limit,redirected_home,3,0,True,False,2,facility,15,30
720,122,capacity_limit,redirected_home,1,1,True,False,2,facility,15,30
780,11,capacity_limit,redirected_home,3,1,True,False,2,facility,15,30
840,45,capacity_limit,redirected_home,3,0,True,False,2,facility,15,30
840,11,capacity_limit,redirected_home,3,1,True,False,2,facility,15,30
840,17,capacity_limit,redirected_home,2,0,True,False,2,facility,15,30
840,144,capacity_limit,redirected_home,32,0,True,False,2,facility,15,30
900,17,capacity_limit,redirected_home,2,0,True,False,2,facility,15,30
900,144,capacity_limit,redirected_home,32,0,True,False,2,facility,15,30
1080,32,capacity_limit,redirected_home,9,1,True,False,2,facility,15,30
1080,110,capacity_limit,redirected_home,1,1,True,False,2,facility,15,30
1440,3,capacity_limit,redirected_home,31,1,True,False,2,facility,15,30
1440,28,capacity_limit,redirected_home,74,0,True,False,2,facility,15,30
1440,134,capacity_limit,redirected_home,15,1,True,False,2,facility,15,30
1440,150,capacity_limit,redirected_home,22,0,True,False,2,facility,15,30
1500,150,capacity_limit,redirected_home,22,0,True,False,2,facility,15,30
1500,86,capacity_limit,redirected_home,27,1,True,False,2,facility,15,30
1560,170,capacity_limit,redirected_home,65,0,False,False,2,facility,15,30
1560,113,capacity_limit,redirected_home,34,0,True,False,2,facility,15,30
1560,103,capacity_limit,redirected_home,14,1,True,False,2,facility,15,30
1560,35,capacity_limit,redirected_home,62,0,False,False,2,facility,15,30
1560,86,capacity_limit,redirected_home,27,1,True,False,2,facility,15,30
1560,83,capacity_limit,redirected_home,17,0,True,False,2,facility,15,30
1620,53,capacity_limit,redirected_home,22,1,False,False,2,facility,15,30
1620,103,capacity_limit,redirected_home,14,1,True,False,2,facility,15,30
1620,143,capacity_limit,redirected_home,30,1,True,False,2,facility,15,30
1620,35,capacity_limit,redirected_home,62,0,False,False,2,facility,15,30
1620,60,capacity_limit,redirected_home,15,0,True,False,2,facility,15,30
1620,86,capacity_limit,redirected_home,27,1,True,False,2,facility,15,30
1620,83,capacity_limit,redirected_home,17,0,True,False,2,facility,15,30
1680,143,capacity_limit,redirected_home,30,1,False,False,2,facility,15,30
1680,35,capacity_limit,redirected_home,62,0,False,False,2,facility,15,30
1680,60,capacity_limit,redirected_home,15,0,False,False,2,facility,15,30
